m_N,y,sin2_2theta,omega_h2_scan,omega_h2,converged,retcode,lambda_fs_Mpc,lambda_fs_eq_Mpc,lambda_fs_free_Mpc,v_end,x_kd,lambda_fs_kd_Mpc,r_s_Mpc,x_kd3,lambda_fs_kd3_Mpc,r_s3_Mpc,x_kd_old,lambda_fs_kd_old_Mpc,r_s_old_Mpc
7.788000000000001e-7,0.01778,9.361319091787713e-19,0.11983456654325922,0.11972441017837787,false,Success,6.826408517320391,2.654669190048001,4.17173932727239,0.10892462737941921,Inf,0.0,5.346968822702746,300689.49211484723,0.0,5.342712818202366,Inf,0.0,5.346968822702746
7.788000000000001e-7,0.03162,2.9729226905614304e-19,0.1188277759944762,0.1188326027347197,false,Success,8.199354880835187,2.988938609078806,5.210416271756381,0.13543192223384717,Inf,0.0,6.422160077927949,Inf,0.0,6.422160077927949,Inf,0.0,6.422160077927949
1.011e-6,1.778e-7,5.868533284901104e-9,0.1197825207388759,0.1197825207388759,true,Success,1.705154685359683,0.8610107343984965,0.8441439509611867,0.02704428196374951,4.0,1.4240854451616578,0.09454080177436565,4.0,1.4240854451616578,0.09454080177436565,4.0,1.4240854451616578,0.09454080177436565
1.011e-6,3.162e-7,2.4966098076944114e-9,0.12115643613800171,0.12115643613800171,true,Success,1.76611864709315,0.8856384704715263,0.8804801766216236,0.02820714791211408,4.0,1.4707090220672006,0.0839098077020395,4.0,1.4707090220672006,0.0839098077020395,4.0,1.4707090220672006,0.0839098077020395
1.011e-6,5.623e-7,9.953377747499227e-10,0.11973890693875919,0.11973890693875919,true,Success,1.8177274464000783,0.9068204833407361,0.9109069630593423,0.029180772650441816,4.0,1.5097334452139746,0.0703966182482454,4.0,1.5097334452139746,0.0703966182482454,4.0,1.5097334452139746,0.0703966182482454
1.011e-6,1.0e-6,3.8207751779125427e-10,0.1199349411954797,0.1199349411954797,true,Success,1.862619324402209,0.9249812877474992,0.9376380366547096,0.03003604373361986,4.0,1.5419020585334688,0.06053728355626433,4.0,1.5419020585334688,0.06053728355626433,4.0,1.5419020585334688,0.06053728355626433
1.011e-6,1.778e-6,1.424817846223152e-10,0.1199241040538177,0.1199241040538177,true,Success,1.899490744380853,0.9399157660835581,0.959574978297295,0.03073785654917814,4.0,1.5678010953123198,0.05265779351762192,4.0,1.5678010953123198,0.05265779351762192,4.0,1.5678010953123198,0.05265779351762192
1.011e-6,3.162e-6,5.196765504742864e-11,0.11995332831688921,0.11995332831688921,true,Success,1.9306385147312415,0.9524768668091709,0.9781616479220705,0.031332437297459534,4.0,1.58908764580579,0.04716525127073914,4.0,1.58908764580579,0.04716525127073914,4.0,1.58908764580579,0.04716525127073914
1.011e-6,5.623e-6,1.8637057503550767e-11,0.11990907945343364,0.11990907945343364,true,Success,1.956692012151099,0.9631013456952437,0.993590666455855,0.03182597098421121,4.0,1.6066022904003163,0.0417178091594579,4.0,1.6066022904003163,0.0417178091594579,4.0,1.6066022904003163,0.0417178091594579
1.011e-6,1.0e-5,6.595442817670068e-12,0.11995952647249108,0.11995952647249108,true,Success,1.9802687692503445,0.9725305071101946,1.0077382621401498,0.03227848700201595,4.0,1.6212962793873658,0.03732496967145539,4.0,1.6212962793873658,0.03732496967145539,10.259343920933244,1.5555860855640928,0.18522755734573995
1.011e-6,1.778e-5,2.3094080065866587e-12,0.12010763064768964,0.12010763064768964,true,Success,2.0010382413017664,0.9808702992430985,1.0201679420586678,0.03267603218218558,4.0,1.6340821065836226,0.0333730200567341,4.0,1.6340821065836226,0.0333730200567341,31.18407794776979,1.3120886932575988,0.39900038625183226
1.011e-6,3.162e-5,8.010273085302414e-13,0.12000374652352713,0.12000374652352713,true,Success,2.019789227244938,0.9882968855797174,1.0314923416652204,0.03303820788606306,4.0,1.6450629398884498,0.029975297820703017,4.0,1.6450629398884498,0.029975297820703017,97.61399979157393,1.0378355583773824,0.6302550666005523
