x1,x2,x3,x4,x5,x6,x7
-2.584375,-2.1462638361930103e-43,-2.1462023530093072e-43,2.7689564321495696e-32,-3.707516643469975e-48,-3.707433813879388e-48,3.7303131330297843e-37
-2.4784375,-2.1411114457842152e-43,-2.141044226458279e-43,3.0272893123790423e-32,-3.701073594730848e-48,-3.7009814898964454e-48,4.148032978951363e-37
-2.3725,-2.1352774419091933e-43,-2.1352095090471746e-43,3.05942412073725e-32,-3.69369019045466e-48,-3.6935954382872565e-48,4.267258258122602e-37
-2.2665625,-2.1286491314830617e-43,-2.1285887035919712e-43,2.721430277980074e-32,-3.685189324614487e-48,-3.6851034723557356e-48,3.866442005224099e-37
-2.160625,-2.1210885049715605e-43,-2.1210485504074308e-43,1.7993936012615393e-32,-3.6753499118294386e-48,-3.6752920657086634e-48,2.6051576796817134e-37
-2.0546875,-2.1124249853601685e-43,-2.1124243779804974e-43,2.7353948604380864e-34,-3.6638937407586585e-48,-3.6638928340617944e-48,4.0833996593387265e-39
-1.94875,-2.1024458546637455e-43,-2.1023807310507514e-43,2.9329067921330963e-32,-3.650468065033396e-48,-3.6503690182516033e-48,4.460670495741601e-37
-1.8428125,-2.09088359992167e-43,-2.090744882979704e-43,6.247255681481871e-32,-3.6346225308349306e-48,-3.6344076992109517e-48,9.675156216987845e-37
-1.736875,-2.077399183407388e-43,-2.0771798352467725e-43,9.878562944117012e-32,-3.615778596203007e-48,-3.6154329502346107e-48,1.556651054472202e-36
-1.6309375,-2.0615599387299773e-43,-2.061257924712675e-43,1.3601502157837566e-31,-3.5931890266523534e-48,-3.5927052692358404e-48,2.178649720745457e-36
-1.525,-2.0428104128004573e-43,-2.042433788796311e-43,1.6961637247320463e-31,-3.56588432832566e-48,-3.5652718091507146e-48,2.7585411280406186e-36
-1.4190625,-2.0204340016595293e-43,-2.0200093569193444e-43,1.912429893661584e-31,-3.5326020785516627e-48,-3.5319017296812626e-48,3.154090911762901e-36
-1.313125,-1.9935026587765135e-43,-1.9930887924401668e-43,1.8638882781521917e-31,-3.491694016209647e-48,-3.491002705856462e-48,3.113385049000648e-36
-1.2071875,-1.9608112905531854e-43,-1.9605209825626706e-43,1.3074309579054385e-31,-3.441004459968267e-48,-3.4405139514456247e-48,2.2090539997944714e-36
-1.10125,-1.920792717286881e-43,-1.9207527592558434e-43,1.7995497369228817e-32,-3.37771216449187e-48,-3.3776436442409995e-48,3.085877762871691e-37
-0.9953125,-1.8714083229202704e-43,-1.870760732723056e-43,2.9164869708643377e-31,-3.298126195496906e-48,-3.29700642510467e-48,5.0429975212154055e-36
-0.889375,-1.810008848445334e-43,-1.808606525129005e-43,6.315502764870828e-31,-3.1974249910107394e-48,-3.194982269989594e-48,1.1001037480600321e-35
-0.7834375,-1.7331593807932383e-43,-1.7308729994839107e-43,1.0296946012714862e-30,-3.069326804520343e-48,-3.065318092664773e-48,1.8053633218980787e-35
-0.6775,-1.6364227293904042e-43,-1.633188152297405e-43,1.4567240190732495e-30,-2.9056797094046705e-48,-2.8999755990520294e-48,2.568902925863464e-35
-0.5715625,-1.5140964616182144e-43,-1.5100060950039407e-43,1.842137355985162e-30,-2.695961018870463e-48,-2.688710332715057e-48,3.2654187467667294e-35
-0.465625,-1.3589013941937294e-43,-1.3543849141833865e-43,2.0340417691606455e-30,-2.4266802887514554e-48,-2.4186368577867796e-48,3.622439269529415e-35
-0.3596875,-1.16162387631918e-43,-1.1578335868652976e-43,1.7069946172130705e-30,-2.0806880715413014e-48,-2.073909180494086e-48,3.052941119422484e-35
-0.25375,-9.107212383664563e-44,-9.10470969555075e-44,1.1271105256794804e-31,-1.6364051566516414e-48,-1.6359557921643854e-48,2.023757737359505e-36
-0.1478125,-5.919094702226662e-44,-5.881585650591462e-44,1.689257509673047e-30,-1.0670043771523981e-48,-1.0600574298994806e-48,3.1286269059601664e-35
-0.041875,-1.8776399560493626e-44,-1.7973895107389903e-44,3.614158755961093e-30,-3.3959804453847453e-49,-3.2465970342433103e-49,6.727630747519004e-35
0.0640625,3.226232977263122e-44,3.348347719801669e-44,5.499559089930431e-30,5.8549451207611355e-49,6.0835412807089204e-49,1.0295055807591706e-34
0.17,9.638777346753142e-44,9.794827199767293e-44,7.027860598857503e-30,1.755308538719438e-48,1.784715587418918e-48,1.324375735650442e-34
0.2759375,1.7644096619846242e-43,1.7816608758645123e-43,7.769256040115286e-30,3.2245298810761954e-48,3.257309838032832e-48,1.4762780193513087e-34
0.381875,2.756266548488383e-43,2.7722591503838536e-43,7.202427593712657e-30,5.055445899305745e-48,5.086164569675164e-48,1.3834459242903289e-34
0.4878125,3.9747387802834304e-43,3.98533586937578e-43,4.772504648751765e-30,7.3175089133827e-48,7.338161790755692e-48,9.301229084113435e-35
0.59375,5.457721625002411e-43,5.457721625002404e-43,3.2285916618043785e-42,1.0086524957457852e-47,1.0086524957457845e-47,3.28429327576129e-47
